tag.code,tagger,release
G723A4B0C,tagger.A,late
G723A7E8D,tagger.A,late
G723A8BC6,tagger.A,late
G723A8EF9,tagger.A,late
G723A9544,tagger.A,late
G723AA618,tagger.A,late
G723AAD38,tagger.A,late
G723AC723,tagger.A,late
G723AD8FF,tagger.A,late
G723AFA60,tagger.A,late
G723B3793,tagger.A,late
G723B6D36,tagger.A,late
G723B9D42,tagger.A,late
G723BACA2,tagger.A,late
G723BC405,tagger.A,late
G723C0322,tagger.A,late
G723C491A,tagger.A,late
G723C6EBA,tagger.A,late
G723C918F,tagger.A,late
G723C95EE,tagger.A,late
G723CC46B,tagger.A,late
G723CC535,tagger.A,late
G723CD855,tagger.A,late
G723CE029,tagger.A,late
G723CF669,tagger.A,late
G723D08C6,tagger.A,late
G723D0CA7,tagger.A,late
G723D0E1B,tagger.A,late
G723D3585,tagger.A,late
G723D411C,tagger.A,late
G723D4A3C,tagger.A,late
G723DB9AA,tagger.A,late
G723DBA48,tagger.A,late
G723DBF77,tagger.A,late
G723DD7D0,tagger.A,late
G723DE0ED,tagger.A,late
G723E376C,tagger.A,late
G723E3A91,tagger.A,late
G723E6A4A,tagger.A,late
G723E786B,tagger.A,late
G723E9B60,tagger.A,late
G723ED99A,tagger.A,late
G723F292A,tagger.A,late
G723F3E34,tagger.A,late
G723F696C,tagger.A,late
G723F740C,tagger.A,late
G72409174,tagger.A,late
G724133A3,tagger.A,late
G72413A3F,tagger.A,late
G72414FF8,tagger.A,late
G7241A2EC,tagger.A,late
G7241AA2E,tagger.A,late
G7241BF8C,tagger.A,late
G7241E016,tagger.A,late
G7241E8D4,tagger.A,late
G7241EE09,tagger.A,late
G7241F369,tagger.A,late
G72420348,tagger.A,late
G724221D7,tagger.A,late
G7242236B,tagger.A,late
G72424250,tagger.A,late
G72425A0F,tagger.A,late
G7242D620,tagger.A,late
G7242E881,tagger.A,late
G7242F262,tagger.A,late
G72430551,tagger.A,late
G72432E52,tagger.A,late
G724335EF,tagger.A,late
G72434449,tagger.A,late
G72434DD5,tagger.A,late
G72435929,tagger.A,late
G724398BD,tagger.A,late
G7243AEDE,tagger.A,late
G7243CADA,tagger.A,late
G7243EC24,tagger.A,late
G72443EA1,tagger.A,late
G72448230,tagger.A,late
G7244ED14,tagger.A,late
G7245491E,tagger.A,late
G72454BA2,tagger.A,late
G72455520,tagger.A,late
G7245E3CF,tagger.A,late
G72465114,tagger.A,late
G724682A1,tagger.A,late
G72468522,tagger.A,late
G7246923C,tagger.A,late
G7246D745,tagger.A,late
G7247174B,tagger.A,late
G72474013,tagger.A,late
G72475BAE,tagger.A,late
G724767B3,tagger.A,late
G72477592,tagger.A,late
G72477D50,tagger.A,late
G7247A966,tagger.A,late
G7247BB47,tagger.A,late
G7247BD9A,tagger.A,late
G7247C903,tagger.A,late
G7247DB22,tagger.A,late
G7247F17F,tagger.A,late
G7247F51E,tagger.A,late
G7247FDDC,tagger.A,late
G72480DB0,tagger.A,late
G72481BF0,tagger.A,late
G72482B4E,tagger.A,late
G72483492,tagger.A,late
G7248396F,tagger.A,late
G72483A8D,tagger.A,late
G7248819F,tagger.A,late
G72488EDE,tagger.A,late
G7248A1BC,tagger.A,late
G7248A63F,tagger.A,late
G7248A97E,tagger.A,late
G7248AC41,tagger.A,late
G7248BA01,tagger.A,late
G7248BF3E,tagger.A,late
G7248CC24,tagger.A,late
G7248D47B,tagger.A,late
G7248D799,tagger.A,late
G7248DB3A,tagger.A,late
G72492FEB,tagger.A,late
G72493C94,tagger.A,late
G72493E28,tagger.A,late
G724952EE,tagger.A,late
G72495E4D,tagger.A,late
G72495F13,tagger.A,late
G72496EF3,tagger.A,late
G7249712F,tagger.A,late
G72498E1A,tagger.A,late
G72499AE6,tagger.A,late
G7249CCE0,tagger.A,late
G724A9D30,tagger.A,late
G724AE8F7,tagger.A,late
G724B2B1B,tagger.A,late
G724B6D80,tagger.A,late
G724B8AEA,tagger.A,late
G724CB9D8,tagger.A,late
G724CBDB9,tagger.A,late
G724CC73F,tagger.A,late
G724CCC1F,tagger.A,late
G724D1B0F,tagger.A,late
G724D3F4D,tagger.A,late
G724D4BD4,tagger.A,late
G724E18B8,tagger.A,late
G724E57BF,tagger.A,late
G724E61DC,tagger.A,late
G724E9834,tagger.A,late
G724EB5EA,tagger.A,late
G724F4B45,tagger.A,late
G724FB8D3,tagger.A,late
G72502A8A,tagger.A,late
G72502EEB,tagger.A,late
G72506350,tagger.A,late
G72508B7B,tagger.A,late
G7250EA40,tagger.A,late
G7250EC9D,tagger.A,late
G7250F21F,tagger.A,late
G7251098F,tagger.A,late
G7251184C,tagger.A,late
G72512030,tagger.A,late
G72514B75,tagger.A,late
G725150C8,tagger.A,late
G72517829,tagger.A,late
G72517977,tagger.A,late
G72518BBF,tagger.A,late
G72519E1D,tagger.A,late
G7251BB01,tagger.A,late
G7251BE3E,tagger.A,late
G7251C75A,tagger.A,late
G7251CEC6,tagger.A,late
G7251DE5B,tagger.A,late
G7251E779,tagger.A,late
G7251EC59,tagger.A,late
G725203A4,tagger.A,late
G72522E7A,tagger.A,late
G72524DFD,tagger.A,late
G72524F41,tagger.A,late
G72527FFF,tagger.A,late
G72528749,tagger.A,late
G7252A0E9,tagger.A,late
G7252C5B3,tagger.A,late
G7252CAF2,tagger.A,late
G7252E0AF,tagger.A,late
G7252EEB0,tagger.A,late
G7252EFEE,tagger.A,late
G7252F032,tagger.A,late
G7252F3D0,tagger.A,late
G72530E9D,tagger.A,late
G7253179C,tagger.A,late
G72533B1C,tagger.A,late
G725340C4,tagger.A,late
G72536825,tagger.A,late
G7253697B,tagger.A,late
G72538F4F,tagger.A,late
G7253CCEB,tagger.A,late
G7253DC76,tagger.A,late
G7253EA15,tagger.A,late
G7253F62B,tagger.A,late
G72541071,tagger.A,late
G7254154E,tagger.B,early
G725416AC,tagger.B,early
G72541F30,tagger.B,early
G72544EB5,tagger.B,early
G72545F76,tagger.B,early
G725461D7,tagger.B,early
G72546915,tagger.B,early
G7254AA3D,tagger.B,early
G7254C6FB,tagger.B,early
G7254C8E4,tagger.B,early
G7254E786,tagger.B,early
G7254F5A7,tagger.B,early
G72550294,tagger.B,early
G725510B5,tagger.B,early
G72552788,tagger.B,early
G72552CA8,tagger.B,early
G72553374,tagger.B,early
G7255406E,tagger.B,early
G725548AC,tagger.B,early
G725549F2,tagger.B,early
G72554B4E,tagger.B,early
G72556113,tagger.B,early
G72556690,tagger.B,early
G725569D1,tagger.B,early
G725570D0,tagger.B,early
G7255794C,tagger.B,early
G72557D2D,tagger.B,early
G72558ADA,tagger.B,early
G72559285,tagger.B,early
G725597BA,tagger.B,early
G7255B2A6,tagger.B,early
G7255C97E,tagger.B,early
G7255CEFD,tagger.B,early
G7255F7DF,tagger.B,early
G72565AD8,tagger.B,early
G72569132,tagger.B,early
G7256940D,tagger.B,early
G7257035B,tagger.B,early
G72572378,tagger.B,early
G72572D67,tagger.B,early
G72572FDB,tagger.B,early
G725741A1,tagger.B,early
G72575062,tagger.B,early
G725758A0,tagger.B,early
G72576182,tagger.B,early
G72577A3F,tagger.B,early
G72577DBC,tagger.B,early
G725786E8,tagger.B,early
G7257A016,tagger.B,early
G7257BAF5,tagger.B,early
G7257C9EF,tagger.B,early
G7257D972,tagger.B,early
G7257F951,tagger.B,early
G7258223E,tagger.B,early
G7258347E,tagger.B,early
G72583B3F,tagger.B,early
G72583E00,tagger.B,early
G72584305,tagger.B,early
G72585124,tagger.B,early
G725857F9,tagger.B,early
G725864A5,tagger.B,early
G72587438,tagger.B,early
G72587DA4,tagger.B,early
G7258E695,tagger.B,early
G7258FAAB,tagger.B,early
G7259177B,tagger.B,early
G72593BFB,tagger.B,early
G72595202,tagger.B,early
G72597901,tagger.B,early
G7259AED5,tagger.B,early
G7259B057,tagger.B,early
G7259C72C,tagger.B,early
G7259D3D0,tagger.B,early
G7259E36E,tagger.B,early
G7259E5B3,tagger.B,early
G7259E84E,tagger.B,early
G7259EE93,tagger.B,early
G725A03D2,tagger.B,early
G725A26CE,tagger.B,early
G725A2A6D,tagger.B,early
G725A55D4,tagger.B,early
G725A6B75,tagger.B,early
G725A6DA8,tagger.B,early
G725A6E4A,tagger.B,early
G725A96FC,tagger.B,early
G725A9C82,tagger.B,early
G725AABBF,tagger.B,early
G725AB53D,tagger.B,early
G725AB6DF,tagger.B,early
G725AC49B,tagger.B,early
G725ADA19,tagger.B,early
G725AE187,tagger.B,early
G725AF2F8,tagger.B,early
G725B2815,tagger.B,early
G725B2C74,tagger.B,early
G725B3DB7,tagger.B,early
G725B3E55,tagger.B,early
G725B40B2,tagger.B,early
G725B4FF3,tagger.B,early
G725B544E,tagger.B,early
G725B5510,tagger.B,early
G725B65AE,tagger.B,early
G725B7533,tagger.B,early
G725B778F,tagger.B,early
G725B88BA,tagger.B,early
G725B8A06,tagger.B,early
G725BA3B9,tagger.B,early
G725BC282,tagger.B,early
G725BD21F,tagger.B,early
G725BF362,tagger.B,early
G725BF842,tagger.B,early
G725BFE9F,tagger.B,early
G725C0AE4,tagger.B,early
G725C13E5,tagger.B,early
G725C21E7,tagger.B,early
G725C2205,tagger.B,early
G725C5CE2,tagger.B,early
G725C5E5E,tagger.B,early
G725C60FF,tagger.B,early
G725C7380,tagger.B,early
