tag_code,tagger_name_xlat,bucket,lot,species_code,length,weight,pit_code,tag_date,tag_activate_date,tag_release_date,release_location,release_location_xlat,release_location_river_kilometer,release_location_latitude,release_location_longitude,mort_xlat,pri,tag_AssignedRelease,char_SurvivalUse,tag_Status,,
G72B8B0E6,A,11,1,11W,130,23,,4/22/2021 0:00,4/21/2021 13:31,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72B8DBA3,A,1,1,11H,179,54,,4/22/2021 0:00,4/21/2021 13:33,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72058BF3,A,6,1,11W,160,42,,4/24/2021 0:00,4/23/2021 15:00,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G721591FC,A,4,1,11H,179,60,,4/24/2021 0:00,4/23/2021 14:57,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G7216AB69,A,9,1,11H,158,39.5,,4/24/2021 0:00,4/23/2021 14:43,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G721AD77F,A,5,1,11H,187,64,,4/24/2021 0:00,4/23/2021 14:59,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G7220CB8B,A,7,1,11H,156,38.5,,4/24/2021 0:00,4/23/2021 15:01,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72298B7F,A,1,1,11H,173,50.5,,4/24/2021 0:00,4/23/2021 14:52,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G722A3A46,A,12,1,11H,160,41.5,,4/24/2021 0:00,4/23/2021 14:50,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G722CF89A,A,11,1,11H,127,21.5,,4/24/2021 0:00,4/23/2021 14:47,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G722DA3A5,A,3,1,11H,148,39.5,,4/24/2021 0:00,4/23/2021 14:22,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G722E64B9,A,2,1,11H,153,35,,4/24/2021 0:00,4/23/2021 14:54,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G7234BAFA,A,4,1,11H,150,34,,4/24/2021 0:00,4/23/2021 14:28,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G723FBEB8,A,6,1,11H,125,21,,4/24/2021 0:00,4/23/2021 14:31,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72464C74,A,6,1,11H,152,36.5,,4/24/2021 0:00,4/23/2021 14:59,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G7248D8D8,A,4,1,11H,130,24.5,,4/24/2021 0:00,4/23/2021 14:57,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G724B978A,A,3,1,11H,200,87,,4/24/2021 0:00,4/23/2021 14:21,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G724F5D05,A,8,1,11H,140,27,,4/24/2021 0:00,4/23/2021 14:41,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G7250A8BA,A,3,1,11H,167,42.5,,4/24/2021 0:00,4/23/2021 14:55,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G725425F0,A,1,1,11W,150,33,,4/24/2021 0:00,4/23/2021 14:18,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G725930DB,A,11,1,11H,156,38,,4/24/2021 0:00,4/23/2021 14:48,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G725A11F3,A,6,1,11H,165,44,,4/24/2021 0:00,4/23/2021 14:33,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G725CBD55,A,5,1,11H,158,40.5,,4/24/2021 0:00,4/23/2021 14:58,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G726997DA,A,7,1,11H,123,18.5,,4/24/2021 0:00,4/23/2021 15:03,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G726A66A5,A,9,1,11H,143,33.5,,4/24/2021 0:00,4/23/2021 14:45,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G726DEFDB,A,12,1,11H,150,35,,4/24/2021 0:00,4/23/2021 14:50,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72784B06,A,10,1,11H,149,33.5,,4/24/2021 0:00,4/23/2021 14:45,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72785C18,A,5,1,11H,193,83,,4/24/2021 0:00,4/23/2021 14:30,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G727A2AAC,A,7,1,11H,163,45,,4/24/2021 0:00,4/23/2021 14:40,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G7280C11B,A,5,1,11H,135,24,,4/24/2021 0:00,4/23/2021 14:29,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72877F58,A,3,1,11H,173,52,,4/24/2021 0:00,4/23/2021 14:54,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G728E4B35,A,8,1,11H,143,31.5,,4/24/2021 0:00,4/23/2021 14:42,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G729DACE6,A,7,1,11H,166,48,,4/24/2021 0:00,4/23/2021 14:38,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72A03C53,A,4,1,11H,170,48,,4/24/2021 0:00,4/23/2021 14:23,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72A2D1D6,A,1,1,11H,152,35,,4/24/2021 0:00,4/23/2021 14:17,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72A3E24E,A,2,1,11H,150,33,,4/24/2021 0:00,4/23/2021 14:53,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72ADA8AA,A,2,1,11H,137,25,,4/24/2021 0:00,4/23/2021 14:20,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72B065F8,A,1,1,11H,122,18.5,,4/24/2021 0:00,4/23/2021 14:51,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72B0C7EB,A,10,1,11H,150,37,,4/24/2021 0:00,4/23/2021 14:46,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72B10CC5,A,2,1,11H,188,70,,4/24/2021 0:00,4/23/2021 14:20,4/25/2021 9:03,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR02,1,Active - General,,
G72032755,A,7,1,11H,165,46,,4/26/2021 0:00,4/25/2021 11:04,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7210F038,A,8,1,11H,179,57.5,,4/26/2021 0:00,4/25/2021 10:51,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7210FF79,A,3,1,11H,149,35,,4/26/2021 0:00,4/25/2021 11:00,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G721D00C5,A,3,1,11H,125,22.5,,4/26/2021 0:00,4/25/2021 10:45,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7223DA1D,A,6,1,11W,160,34,,4/26/2021 0:00,4/25/2021 11:02,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72255698,A,2,1,11H,129,25,,4/26/2021 0:00,4/25/2021 10:44,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72266AD0,A,2,1,11H,147,35,,4/26/2021 0:00,4/25/2021 10:59,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7228A204,A,11,1,11H,183,62.5,,4/26/2021 0:00,4/25/2021 10:56,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G722BA630,A,1,1,11H,193,73.5,,4/26/2021 0:00,4/25/2021 10:43,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G722C7F95,A,7,1,11H,134,24.5,,4/26/2021 0:00,4/25/2021 11:03,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72315C31,A,3,1,11H,142,29,,4/26/2021 0:00,4/25/2021 11:00,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7238DEB3,A,7,1,11H,133,24,,4/26/2021 0:00,4/25/2021 10:50,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72419BCE,A,10,1,11W,152,41,,4/26/2021 0:00,4/25/2021 10:55,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7244DB77,A,1,1,11H,145,30.5,,4/26/2021 0:00,4/25/2021 10:58,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G724785E6,A,6,1,11H,193,85.5,,4/26/2021 0:00,4/25/2021 10:50,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7248F9A5,A,2,1,11H,147,36.5,,4/26/2021 0:00,4/25/2021 10:45,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G724C8627,A,5,1,11H,185,64,,4/26/2021 0:00,4/25/2021 11:01,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7251D7C7,A,3,1,11H,167,49.5,,4/26/2021 0:00,4/25/2021 10:46,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G725267A0,A,1,1,11W,149,40,,4/26/2021 0:00,4/25/2021 10:43,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72544348,A,11,1,11H,135,27.5,,4/26/2021 0:00,4/25/2021 10:56,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7255E5FE,A,8,1,11H,132,25.5,,4/26/2021 0:00,4/25/2021 10:52,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7261B78F,A,9,1,11H,143,29.5,,4/26/2021 0:00,4/25/2021 10:53,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72682D52,A,5,1,11W,139,27.5,,4/26/2021 0:00,4/25/2021 10:49,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7271188D,A,4,1,11H,156,38,,4/26/2021 0:00,4/25/2021 11:01,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7274B47E,A,6,1,11W,137,27.5,,4/26/2021 0:00,4/25/2021 10:49,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7278C4CB,A,9,1,11H,143,29.5,,4/26/2021 0:00,4/25/2021 10:54,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72839BEB,A,12,1,11H,147,35.5,,4/26/2021 0:00,4/25/2021 10:57,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G728B32AE,A,8,1,11H,156,39.5,,4/26/2021 0:00,4/25/2021 11:04,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G728F16D7,A,5,1,11H,161,42.5,,4/26/2021 0:00,4/25/2021 10:48,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7297CAB9,A,4,1,11H,166,52,,4/26/2021 0:00,4/25/2021 10:47,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G7298B179,A,5,1,11H,173,54.5,,4/26/2021 0:00,4/25/2021 11:02,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G729C6E54,A,7,1,11H,164,42.5,,4/26/2021 0:00,4/25/2021 10:51,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72A831D8,A,12,1,11H,143,32.5,,4/26/2021 0:00,4/25/2021 10:58,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72ADDFD1,A,6,1,11H,144,30,,4/26/2021 0:00,4/25/2021 11:03,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72B68E9B,A,8,1,11H,139,30,,4/26/2021 0:00,4/25/2021 11:05,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72B87290,A,10,1,11H,153,35.5,,4/26/2021 0:00,4/25/2021 10:55,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72B8889A,A,2,1,11H,165,48,,4/26/2021 0:00,4/25/2021 10:59,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72B9C759,A,4,1,11H,131,23,,4/26/2021 0:00,4/25/2021 10:48,4/27/2021 8:59,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR03,1,Active - General,,
G72032EC9,B,4,1,11H,183,62,,4/28/2021 0:00,4/27/2021 14:46,4/29/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR04,1,Active - General,,
G7203A687,B,10,1,11H,153,36.5,,4/28/2021 0:00,4/27/2021 15:02,4/29/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR04,1,Active - General,,
