tag_code,tagger_name,bucket,lot,species_code,length,weight,pit_code,tag_date,activation_date,release_date,release_location,release_river_km,mortality,tag_AssignedRelease
G7244A213,A,2,1,11H,155,35,,4/22/2021 0:00,4/21/2021 13:35,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7254310C,A,2,1,11H,146,28.5,,4/22/2021 0:00,4/21/2021 13:36,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72551C16,A,4,1,11H,152,35.5,,4/22/2021 0:00,4/21/2021 13:18,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72559285,A,11,1,11W,155,34.5,,4/22/2021 0:00,4/21/2021 13:32,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7258B64E,A,8,1,11H,167,47,,4/22/2021 0:00,4/21/2021 13:26,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G725A26CE,A,7,1,11H,156,36.5,,4/22/2021 0:00,4/21/2021 13:23,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G726942B2,A,9,1,11H,148,29.5,,4/22/2021 0:00,4/21/2021 13:48,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G726A4B7B,A,8,1,11H,168,46.5,,4/22/2021 0:00,4/21/2021 13:46,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G726BAE69,A,3,1,11H,138,27,,4/22/2021 0:00,4/21/2021 13:37,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G727604DD,A,1,1,11H,123,19.5,,4/22/2021 0:00,4/21/2021 13:12,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G728EBE7E,A,7,1,11H,160,43.5,,4/22/2021 0:00,4/21/2021 13:43,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G728EEEA5,A,10,1,11H,128,23,,4/22/2021 0:00,4/21/2021 13:49,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72973ACD,A,6,1,11H,147,34.5,,4/22/2021 0:00,4/21/2021 13:22,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G729C1871,A,4,1,11H,158,41,,4/22/2021 0:00,4/21/2021 13:40,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G729D0BCA,A,1,1,11W,139,26.5,,4/22/2021 0:00,4/21/2021 13:09,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72A9A432,A,7,1,11H,139,25,,4/22/2021 0:00,4/21/2021 13:45,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
